t	x0	y0	x1	y1	x2	y2
196	-2.069051	0.660234	-0.701734	-0.241109	-0.380658	0.104394
197	-2.075804	0.663481	-0.702252	-0.242767	-0.385679	0.106603
198	-2.082527	0.666681	-0.702845	-0.244431	-0.390666	0.108766
199	-2.089220	0.669833	-0.703542	-0.246076	-0.395620	0.110884
200	-2.095884	0.672937	-0.704360	-0.247685	-0.400540	0.112958
201	-2.102519	0.675992	-0.705307	-0.249247	-0.405425	0.114990
202	-2.109125	0.678998	-0.706382	-0.250759	-0.410275	0.116982
203	-2.115704	0.681954	-0.707581	-0.252223	-0.415090	0.118937
204	-2.122254	0.684860	-0.708892	-0.253644	-0.419871	0.120857
205	-2.128778	0.687716	-0.710305	-0.255032	-0.424617	0.122745
206	-2.135275	0.690523	-0.711803	-0.256398	-0.429330	0.124604
207	-2.141747	0.693280	-0.713374	-0.257756	-0.434010	0.126435
208	-2.148193	0.695987	-0.715001	-0.259120	-0.438657	0.128242
209	-2.154614	0.698646	-0.716672	-0.260505	-0.443272	0.130028
210	-2.161010	0.701256	-0.718375	-0.261923	-0.447857	0.131795
211	-2.167383	0.703818	-0.720102	-0.263387	-0.452412	0.133544
212	-2.173731	0.706332	-0.721843	-0.264907	-0.456937	0.135279
213	-2.180056	0.708798	-0.723596	-0.266489	-0.461434	0.137002
214	-2.186358	0.711217	-0.725357	-0.268139	-0.465904	0.138715
215	-2.192637	0.713589	-0.727127	-0.269857	-0.470347	0.140420
216	-2.198893	0.715914	-0.728908	-0.271642	-0.474765	0.142119
217	-2.205126	0.718193	-0.730706	-0.273488	-0.479157	0.143814
218	-2.211337	0.720426	-0.732525	-0.275387	-0.483526	0.145507
219	-2.217526	0.722613	-0.734372	-0.277331	-0.487873	0.147199
220	-2.223693	0.724754	-0.736254	-0.279309	-0.492197	0.148892
221	-2.229838	0.726850	-0.738176	-0.281311	-0.496500	0.150588
222	-2.235962	0.728902	-0.740144	-0.283327	-0.500784	0.152289
223	-2.242064	0.730908	-0.742163	-0.285349	-0.505050	0.153995
224	-2.248145	0.732871	-0.744235	-0.287369	-0.509297	0.155708
225	-2.254205	0.734791	-0.746365	-0.289383	-0.513528	0.157430
226	-2.260244	0.736668	-0.748552	-0.291387	-0.517744	0.159161
227	-2.266262	0.738503	-0.750799	-0.293380	-0.521945	0.160903
228	-2.272260	0.740297	-0.753104	-0.295362	-0.526133	0.162657
229	-2.278238	0.742050	-0.755468	-0.297334	-0.530309	0.164423
230	-2.284195	0.743764	-0.757889	-0.299298	-0.534473	0.166203
231	-2.290133	0.745440	-0.760366	-0.301259	-0.538627	0.167998
232	-2.296050	0.747078	-0.762898	-0.303220	-0.542771	0.169807
233	-2.301948	0.748679	-0.765484	-0.305185	-0.546906	0.171633
234	-2.307827	0.750245	-0.768123	-0.307157	-0.551034	0.173476
235	-2.313686	0.751775	-0.770814	-0.309139	-0.555154	0.175336
236	-2.319527	0.753272	-0.773558	-0.311133	-0.559268	0.177215
237	-2.325348	0.754735	-0.776353	-0.313141	-0.563377	0.179112
238	-2.331151	0.756167	-0.779201	-0.315163	-0.567481	0.181028
239	-2.336935	0.757567	-0.782101	-0.317198	-0.571580	0.182965
240	-2.342700	0.758937	-0.785056	-0.319245	-0.575677	0.184922
241	-2.348448	0.760277	-0.788067	-0.321299	-0.579770	0.186900
242	-2.354178	0.761588	-0.791134	-0.323360	-0.583861	0.188900
243	-2.359890	0.762871	-0.794260	-0.325422	-0.587950	0.190922
244	-2.365585	0.764127	-0.797447	-0.327484	-0.592038	0.192966
245	-2.371262	0.765357	-0.800694	-0.329540	-0.596126	0.195034
246	-2.376923	0.766561	-0.804005	-0.331588	-0.600214	0.197125
247	-2.382566	0.767740	-0.807381	-0.333625	-0.604302	0.199240
248	-2.388194	0.768895	-0.810822	-0.335649	-0.608391	0.201379
249	-2.393805	0.770027	-0.814331	-0.337657	-0.612482	0.203544
250	-2.399400	0.771137	-0.817908	-0.339650	-0.616575	0.205733
251	-2.404980	0.772226	-0.821554	-0.341625	-0.620671	0.207948
252	-2.410544	0.773293	-0.825270	-0.343582	-0.624769	0.210189
253	-2.416093	0.774341	-0.829058	-0.345521	-0.628872	0.212457
254	-2.421627	0.775371	-0.832918	-0.347443	-0.632978	0.214752
255	-2.427147	0.776382	-0.836851	-0.349346	-0.637089	0.217074
256	-2.432653	0.777375	-0.840858	-0.351230	-0.641205	0.219424
257	-2.438144	0.778353	-0.844940	-0.353095	-0.645326	0.221803
258	-2.443623	0.779314	-0.849099	-0.354940	-0.649453	0.224212
259	-2.449088	0.780261	-0.853335	-0.356764	-0.653586	0.226650
260	-2.454540	0.781194	-0.857649	-0.358565	-0.657724	0.229121
261	-2.459979	0.782114	-0.862043	-0.360341	-0.661868	0.231624
262	-2.465407	0.783022	-0.866518	-0.362091	-0.666017	0.234161
263	-2.470822	0.783918	-0.871075	-0.363811	-0.670172	0.236735
264	-2.476226	0.784803	-0.875714	-0.365500	-0.674331	0.239347
265	-2.481619	0.785678	-0.880438	-0.367153	-0.678493	0.242000
266	-2.487001	0.786545	-0.885247	-0.368769	-0.682657	0.244698
267	-2.492373	0.787403	-0.890142	-0.370344	-0.686822	0.247446
268	-2.497734	0.788254	-0.895124	-0.371876	-0.690984	0.250247
269	-2.503086	0.789098	-0.900194	-0.373361	-0.695141	0.253108
270	-2.508428	0.789937	-0.905353	-0.374797	-0.699289	0.256037
271	-2.513761	0.790772	-0.910600	-0.376180	-0.703424	0.259042
272	-2.519085	0.791604	-0.915938	-0.377509	-0.707539	0.262133
273	-2.524401	0.792433	-0.921367	-0.378780	-0.711629	0.265324
274	-2.529708	0.793262	-0.926887	-0.379990	-0.715687	0.268629
275	-2.535007	0.794091	-0.932498	-0.381137	-0.719704	0.272061
276	-2.540297	0.794922	-0.938201	-0.382216	-0.723677	0.275634
277	-2.545579	0.795757	-0.943997	-0.383226	-0.727605	0.279351
278	-2.550853	0.796597	-0.949884	-0.384162	-0.731499	0.283202
279	-2.556119	0.797445	-0.955865	-0.385022	-0.735377	0.287165
280	-2.561376	0.798301	-0.961937	-0.385801	-0.739263	0.291207
281	-2.566625	0.799168	-0.968102	-0.386496	-0.743181	0.295296
282	-2.571866	0.800047	-0.974359	-0.387104	-0.747154	0.299398
283	-2.577098	0.800941	-0.980708	-0.387621	-0.751201	0.303483
284	-2.582323	0.801850	-0.987147	-0.388043	-0.755341	0.307525
285	-2.587540	0.802776	-0.993675	-0.388368	-0.759586	0.311504
286	-2.592750	0.803719	-1.000292	-0.388592	-0.763945	0.315405
287	-2.597953	0.804681	-1.006995	-0.388711	-0.768425	0.319217
288	-2.603151	0.805663	-1.013783	-0.388723	-0.773027	0.322936
289	-2.608345	0.806663	-1.020654	-0.388623	-0.777752	0.326559
290	-2.613534	0.807684	-1.027606	-0.388408	-0.782599	0.330088
291	-2.618720	0.808724	-1.034634	-0.388076	-0.787563	0.333526
292	-2.623905	0.809784	-1.041738	-0.387622	-0.792641	0.336879
293	-2.629089	0.810863	-1.048912	-0.387043	-0.797829	0.340151
294	-2.634273	0.811963	-1.056154	-0.386336	-0.803120	0.343351
295	-2.639458	0.813081	-1.063460	-0.385497	-0.808511	0.346484
296	-2.644646	0.814219	-1.070825	-0.384524	-0.813997	0.349555
297	-2.649837	0.815376	-1.078245	-0.383413	-0.819572	0.352571
298	-2.655033	0.816551	-1.085715	-0.382161	-0.825235	0.355534
299	-2.660234	0.817746	-1.093231	-0.380766	-0.830981	0.358449
300	-2.665442	0.818959	-1.100788	-0.379225	-0.836807	0.361318
301	-2.670656	0.820190	-1.108380	-0.377537	-0.842712	0.364139
302	-2.675879	0.821440	-1.116003	-0.375700	-0.848693	0.366915
303	-2.681111	0.822709	-1.123650	-0.373712	-0.854748	0.369642
304	-2.686352	0.823997	-1.131316	-0.371573	-0.860876	0.372319
305	-2.691603	0.825303	-1.138996	-0.369283	-0.867076	0.374943
306	-2.696864	0.826629	-1.146684	-0.366840	-0.873347	0.377511
307	-2.702137	0.827975	-1.154374	-0.364247	-0.879686	0.380019
308	-2.707421	0.829340	-1.162062	-0.361502	-0.886092	0.382463
309	-2.712718	0.830725	-1.169741	-0.358609	-0.892564	0.384840
310	-2.718026	0.832130	-1.177406	-0.355567	-0.899099	0.387146
311	-2.723348	0.833556	-1.185051	-0.352380	-0.905696	0.389380
312	-2.728682	0.835003	-1.192672	-0.349050	-0.912350	0.391537
313	-2.734029	0.836471	-1.200264	-0.345581	-0.919061	0.393616
314	-2.739390	0.837960	-1.207821	-0.341974	-0.925823	0.395615
315	-2.744764	0.839472	-1.215339	-0.338235	-0.932635	0.397533
316	-2.750151	0.841005	-1.222814	-0.334368	-0.939492	0.399370
317	-2.755552	0.842560	-1.230241	-0.330377	-0.946391	0.401124
318	-2.760967	0.844138	-1.237617	-0.326267	-0.953328	0.402797
319	-2.766394	0.845738	-1.244939	-0.322044	-0.960299	0.404388
320	-2.771835	0.847361	-1.252203	-0.317714	-0.967300	0.405900
321	-2.777289	0.849006	-1.259407	-0.313282	-0.974326	0.407334
322	-2.782756	0.850675	-1.266549	-0.308756	-0.981373	0.408691
323	-2.788236	0.852366	-1.273627	-0.304140	-0.988438	0.409974
324	-2.793728	0.854081	-1.280639	-0.299443	-0.995517	0.411185
325	-2.799233	0.855818	-1.287585	-0.294671	-1.002604	0.412327
326	-2.804749	0.857578	-1.294464	-0.289832	-1.009696	0.413403
327	-2.810277	0.859360	-1.301276	-0.284932	-1.016790	0.414417
328	-2.815816	0.861166	-1.308020	-0.279978	-1.023881	0.415372
329	-2.821366	0.862994	-1.314698	-0.274977	-1.030966	0.416271
330	-2.826927	0.864844	-1.321311	-0.269937	-1.038041	0.417119
331	-2.832497	0.866716	-1.327859	-0.264865	-1.045103	0.417919
332	-2.837898	0.868611	-1.334344	-0.259766	-1.052149	0.418676
333	-2.843012	0.870530	-1.340768	-0.254649	-1.059176	0.419392
334	-2.847739	0.872482	-1.347132	-0.249517	-1.066180	0.420074
335	-2.851999	0.874473	-1.353438	-0.244379	-1.073159	0.420723
336	-2.855734	0.876505	-1.359687	-0.239240	-1.080110	0.421345
337	-2.858902	0.878578	-1.365881	-0.234104	-1.087029	0.421943
338	-2.861480	0.880693	-1.372021	-0.228978	-1.093914	0.422522
339	-2.863464	0.882851	-1.378107	-0.223866	-1.100760	0.423084
340	-2.864863	0.885053	-1.384141	-0.218773	-1.107565	0.423633
341	-2.865700	0.887303	-1.390124	-0.213703	-1.114326	0.424174
342	-2.866011	0.889602	-1.396055	-0.208659	-1.121040	0.424708
343	-2.865841	0.891954	-1.401935	-0.203645	-1.127703	0.425238
344	-2.865241	0.894362	-1.407765	-0.198664	-1.134313	0.425769
345	-2.864271	0.896826	-1.413545	-0.193719	-1.140867	0.426302
346	-2.862991	0.899348	-1.419275	-0.188812	-1.147363	0.426840
347	-2.861464	0.901930	-1.424954	-0.183946	-1.153799	0.427384
348	-2.859753	0.904572	-1.430584	-0.179121	-1.160173	0.427938
349	-2.857919	0.907273	-1.436164	-0.174339	-1.166483	0.428502
350	-2.856021	0.910031	-1.441695	-0.169602	-1.172728	0.429079
351	-2.854112	0.912843	-1.447176	-0.164910	-1.178906	0.429669
352	-2.852241	0.915707	-1.452609	-0.160264	-1.185018	0.430275
353	-2.850452	0.918615	-1.457993	-0.155664	-1.191061	0.430897
354	-2.848780	0.921565	-1.463329	-0.151111	-1.197037	0.431536
355	-2.847255	0.924543	-1.468618	-0.146604	-1.202946	0.432194
356	-2.845902	0.927540	-1.473861	-0.142144	-1.208786	0.432870
357	-2.844736	0.930544	-1.479058	-0.137730	-1.214560	0.433565
358	-2.843769	0.933545	-1.484211	-0.133361	-1.220267	0.434281
359	-2.843004	0.936535	-1.489319	-0.129038	-1.225909	0.435016
360	-2.842441	0.939507	-1.494385	-0.124760	-1.231486	0.435772
361	-2.842072	0.942452	-1.499409	-0.120526	-1.237000	0.436549
362	-2.841889	0.945366	-1.504393	-0.116336	-1.242452	0.437346
363	-2.841877	0.948245	-1.509337	-0.112188	-1.247843	0.438163
364	-2.842019	0.951084	-1.514243	-0.108083	-1.253174	0.439001
365	-2.842297	0.953881	-1.519112	-0.104020	-1.258448	0.439859
366	-2.842689	0.956635	-1.523945	-0.099997	-1.263665	0.440737
367	-2.843175	0.959346	-1.528743	-0.096015	-1.268826	0.441635
368	-2.843733	0.962012	-1.533507	-0.092072	-1.273934	0.442553
369	-2.844342	0.964636	-1.538238	-0.088168	-1.278990	0.443489
370	-2.844981	0.967218	-1.542938	-0.084302	-1.283995	0.444444
371	-2.845632	0.969761	-1.547606	-0.080474	-1.288949	0.445418
372	-2.846277	0.972266	-1.552245	-0.076683	-1.293856	0.446409
373	-2.846901	0.974736	-1.556854	-0.072928	-1.298715	0.447418
374	-2.847489	0.977174	-1.561435	-0.069209	-1.303528	0.448444
375	-2.848032	0.979583	-1.565988	-0.065525	-1.308296	0.449486
376	-2.848519	0.981965	-1.570514	-0.061875	-1.313019	0.450545
377	-2.848945	0.984323	-1.575013	-0.058259	-1.317700	0.451620
378	-2.849305	0.986660	-1.579487	-0.054676	-1.322338	0.452710
379	-2.849596	0.988978	-1.583934	-0.051126	-1.326934	0.453815
380	-2.849818	0.991280	-1.588357	-0.047608	-1.331490	0.454934
381	-2.849972	0.993567	-1.592755	-0.044122	-1.336005	0.456068
382	-2.850062	0.995842	-1.597129	-0.040667	-1.340481	0.457216
383	-2.850091	0.998106	-1.601479	-0.037242	-1.344918	0.458377
